NPlayers,MaxNActions,Solver,Runtime,MaxViolation,NViolations,Welfare
10,2,Linear Programming-Maximize Welfare,0.39622330002021044,0,0,51.46012851087018
10,2,Linear Programming,0.34591880001244135,0,0,12.898765387058704
10,2,Linear Programming-Maximize Welfare,0.3551658999931533,0,0,49.292484282237126
10,2,Linear Programming,0.3644720000156667,0,0,3.59838475716725
10,2,Linear Programming-Maximize Welfare,0.3757931999862194,0,0,51.57088587884343
2,2,Linear Programming,0.03473339998163283,0,0,18.168135025209768
2,2,Linear Programming-Maximize Welfare,0.04055989999324083,0,0,18.168135025209768
2,2,Linear Programming,0.04399639999610372,0,0,10.457846566891075
2,2,Linear Programming-Maximize Welfare,0.04415180001524277,0,0,10.457846566891075
2,2,Linear Programming,0.04218100002617575,0,0,0.6396721428851126
2,2,Linear Programming-Maximize Welfare,0.03854810001212172,0,0,0.6396721428851126
